"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.178.42","18.198.11.56","TCP","54","3447  >  443 [ACK] Seq=1 Ack=1 Win=1024 Len=0"
"2","0.013441","18.198.11.56","192.168.178.42","TCP","60","443  >  3428 [ACK] Seq=1 Ack=1 Win=764 Len=0"
"3","0.198487","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"4","0.261797","5.200.6.174","192.168.178.42","UDP","144","50004  >  63494 Len=102"
"5","0.278051","5.200.6.174","192.168.178.42","UDP","137","50004  >  63494 Len=95"
"6","0.310075","5.200.6.174","192.168.178.42","UDP","146","50004  >  63494 Len=104"
"7","0.319664","5.200.6.174","192.168.178.42","UDP","132","50004  >  63494 Len=90"
"8","0.342753","5.200.6.174","192.168.178.42","UDP","132","50004  >  63494 Len=90"
"9","0.360129","5.200.6.174","192.168.178.42","UDP","165","50004  >  63494 Len=123"
"10","0.376057","5.200.6.174","192.168.178.42","UDP","162","50004  >  63494 Len=120"
"11","0.401173","5.200.6.174","192.168.178.42","UDP","171","50004  >  63494 Len=129"
"12","0.420969","5.200.6.174","192.168.178.42","UDP","152","50004  >  63494 Len=110"
"13","0.438764","5.200.6.174","192.168.178.42","UDP","150","50004  >  63494 Len=108"
"14","0.457768","5.200.6.174","192.168.178.42","UDP","148","50004  >  63494 Len=106"
"15","0.479126","5.200.6.174","192.168.178.42","UDP","151","50004  >  63494 Len=109"
"16","0.494379","192.168.178.42","192.168.178.23","TCP","164","3764  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=1021 Len=110 [TCP segment of a reassembled PDU]"
"17","0.498244","192.168.178.23","192.168.178.42","TCP","164","8009  >  3764 [PSH, ACK] Seq=1 Ack=111 Win=1386 Len=110 [TCP segment of a reassembled PDU]"
"18","0.503057","5.200.6.174","192.168.178.42","UDP","153","50004  >  63494 Len=111"
"19","0.533023","5.200.6.174","192.168.178.42","UDP","150","50004  >  63494 Len=108"
"20","0.538363","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"21","0.542116","192.168.178.42","192.168.178.23","TCP","54","3764  >  8009 [ACK] Seq=111 Ack=111 Win=1020 Len=0"
"22","0.559455","5.200.6.174","192.168.178.42","UDP","177","50004  >  63494 Len=135"
"23","0.581468","5.200.6.174","192.168.178.42","UDP","171","50004  >  63494 Len=129"
"24","0.598329","5.200.6.174","192.168.178.42","UDP","174","50004  >  63494 Len=132"
"25","0.607468","192.168.178.42","5.200.6.174","UDP","50","63494  >  50004 Len=8"
"26","0.616985","5.200.6.174","192.168.178.42","UDP","179","50004  >  63494 Len=137"
"27","0.639638","5.200.6.174","192.168.178.42","UDP","171","50004  >  63494 Len=129"
"28","0.656610","5.200.6.174","192.168.178.42","UDP","183","50004  >  63494 Len=141"
"29","0.665596","192.168.178.24","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"30","0.685099","5.200.6.174","192.168.178.42","UDP","172","50004  >  63494 Len=130"
"31","0.690937","5.200.6.174","192.168.178.42","UDP","60","50004  >  63494 Len=8"
"32","0.715973","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"33","0.717924","5.200.6.174","192.168.178.42","UDP","162","50004  >  63494 Len=120"
"34","0.738549","5.200.6.174","192.168.178.42","UDP","169","50004  >  63494 Len=127"
"35","0.761298","5.200.6.174","192.168.178.42","UDP","160","50004  >  63494 Len=118"
"36","0.762910","192.168.178.24","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"37","0.779704","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"38","0.801717","5.200.6.174","192.168.178.42","UDP","179","50004  >  63494 Len=137"
"39","0.820650","5.200.6.174","192.168.178.42","UDP","162","50004  >  63494 Len=120"
"40","0.837126","5.200.6.174","192.168.178.42","UDP","158","50004  >  63494 Len=116"
"41","0.863141","5.200.6.174","192.168.178.42","UDP","174","50004  >  63494 Len=132"
"42","0.878542","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"43","0.879545","192.168.178.42","162.159.138.234","TLSv1.2","140","Application Data"
"44","0.886705","192.168.178.42","5.200.6.174","UDP","240","63494  >  50004 Len=198"
"45","0.899930","5.200.6.174","192.168.178.42","UDP","168","50004  >  63494 Len=126"
"46","0.908522","192.168.178.42","5.200.6.174","UDP","229","63494  >  50004 Len=187"
"47","0.917138","5.200.6.174","192.168.178.42","UDP","183","50004  >  63494 Len=141"
"48","0.921264","162.159.138.234","192.168.178.42","TCP","60","443  >  3420 [ACK] Seq=1 Ack=87 Win=182 Len=0"
"49","0.930837","192.168.178.42","5.200.6.174","UDP","242","63494  >  50004 Len=200"
"50","0.940766","5.200.6.174","192.168.178.42","UDP","166","50004  >  63494 Len=124"
"51","0.946795","192.168.178.42","5.200.6.174","UDP","239","63494  >  50004 Len=197"
"52","0.957621","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"53","0.968334","192.168.178.42","5.200.6.174","UDP","233","63494  >  50004 Len=191"
