"No.","Time","Source","Destination","Protocol","Length","Info"
"54","0.980200","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"55","0.990153","192.168.178.42","5.200.6.174","UDP","233","63494  >  50004 Len=191"
"56","1.001448","5.200.6.174","192.168.178.42","UDP","176","50004  >  63494 Len=134"
"57","1.007044","192.168.178.42","5.200.6.174","UDP","232","63494  >  50004 Len=190"
"58","1.018099","5.200.6.174","192.168.178.42","UDP","166","50004  >  63494 Len=124"
"59","1.030096","192.168.178.42","5.200.6.174","UDP","232","63494  >  50004 Len=190"
"60","1.040582","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"61","1.046932","192.168.178.42","5.200.6.174","UDP","232","63494  >  50004 Len=190"
"62","1.057306","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"63","1.069353","192.168.178.42","5.200.6.174","UDP","226","63494  >  50004 Len=184"
"64","1.079266","5.200.6.174","192.168.178.42","UDP","160","50004  >  63494 Len=118"
"65","1.087009","AVMAudio_df:a3:8a","AtherosC_00:00:01","HomePlug AV","60","Qualcomm Atheros, OP_ATTR.REQ (Get Device Attributes Request)"
"66","1.087009","AVMAudio_df:a3:8a","Broadcast","HomePlug AV","60","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)"
"67","1.087009","AVMAudio_df:a3:8a","Broadcast","0x8912","60","Ethernet II"
"68","1.087138","192.168.178.42","5.200.6.174","UDP","231","63494  >  50004 Len=189"
"69","1.107670","5.200.6.174","192.168.178.42","UDP","164","50004  >  63494 Len=122"
"70","1.109397","192.168.178.42","5.200.6.174","UDP","232","63494  >  50004 Len=190"
"71","1.119125","5.200.6.174","192.168.178.42","UDP","174","50004  >  63494 Len=132"
"72","1.126045","192.168.178.42","5.200.6.174","UDP","200","63494  >  50004 Len=158"
"73","1.146456","5.200.6.174","192.168.178.42","UDP","177","50004  >  63494 Len=135"
"74","1.148452","192.168.178.42","5.200.6.174","UDP","221","63494  >  50004 Len=179"
"75","1.159294","5.200.6.174","192.168.178.42","UDP","163","50004  >  63494 Len=121"
"76","1.169607","192.168.178.42","5.200.6.174","UDP","221","63494  >  50004 Len=179"
"77","1.181848","5.200.6.174","192.168.178.42","UDP","167","50004  >  63494 Len=125"
"78","1.186157","192.168.178.42","5.200.6.174","UDP","225","63494  >  50004 Len=183"
"79","1.197443","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"80","1.206383","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"81","1.208442","192.168.178.42","5.200.6.174","UDP","212","63494  >  50004 Len=170"
"82","1.220019","5.200.6.174","192.168.178.42","UDP","162","50004  >  63494 Len=120"
"83","1.226129","192.168.178.42","5.200.6.174","UDP","216","63494  >  50004 Len=174"
"84","1.240953","5.200.6.174","192.168.178.42","UDP","164","50004  >  63494 Len=122"
"85","1.247754","192.168.178.42","5.200.6.174","UDP","222","63494  >  50004 Len=180"
"86","1.257651","5.200.6.174","192.168.178.42","UDP","158","50004  >  63494 Len=116"
"87","1.270346","192.168.178.42","5.200.6.174","UDP","222","63494  >  50004 Len=180"
"88","1.279682","5.200.6.174","192.168.178.42","UDP","147","50004  >  63494 Len=105"
"89","1.287238","192.168.178.42","5.200.6.174","UDP","221","63494  >  50004 Len=179"
"90","1.297563","5.200.6.174","192.168.178.42","UDP","168","50004  >  63494 Len=126"
"91","1.310071","192.168.178.42","5.200.6.174","UDP","230","63494  >  50004 Len=188"
"92","1.315304","5.200.6.174","192.168.178.42","UDP","166","50004  >  63494 Len=124"
"93","1.327291","192.168.178.42","5.200.6.174","UDP","225","63494  >  50004 Len=183"
"94","1.338232","5.200.6.174","192.168.178.42","UDP","165","50004  >  63494 Len=123"
"95","1.342389","192.168.178.42","5.200.6.174","RTCP","102","Sender Report   "
"96","1.348991","192.168.178.42","5.200.6.174","UDP","223","63494  >  50004 Len=181"
"97","1.359770","5.200.6.174","192.168.178.42","UDP","167","50004  >  63494 Len=125"
"98","1.370071","192.168.178.42","5.200.6.174","UDP","214","63494  >  50004 Len=172"
"99","1.378336","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"100","1.386446","192.168.178.42","5.200.6.174","UDP","212","63494  >  50004 Len=170"
"101","1.402734","5.200.6.174","192.168.178.42","UDP","173","50004  >  63494 Len=131"
"102","1.407843","192.168.178.42","5.200.6.174","UDP","221","63494  >  50004 Len=179"
"103","1.416345","5.200.6.174","192.168.178.42","UDP","165","50004  >  63494 Len=123"
"104","1.424921","192.168.178.42","5.200.6.174","UDP","219","63494  >  50004 Len=177"
"105","1.439408","5.200.6.174","192.168.178.42","UDP","179","50004  >  63494 Len=137"
"106","1.447946","192.168.178.42","5.200.6.174","UDP","216","63494  >  50004 Len=174"
"107","1.456708","5.200.6.174","192.168.178.42","UDP","164","50004  >  63494 Len=122"
"108","1.470951","192.168.178.42","5.200.6.174","UDP","213","63494  >  50004 Len=171"
"109","1.479940","5.200.6.174","192.168.178.42","UDP","167","50004  >  63494 Len=125"
"110","1.487801","192.168.178.42","5.200.6.174","UDP","222","63494  >  50004 Len=180"
"111","1.496748","5.200.6.174","192.168.178.42","UDP","167","50004  >  63494 Len=125"
"112","1.506273","192.168.178.42","5.200.6.174","UDP","217","63494  >  50004 Len=175"
"113","1.518518","5.200.6.174","192.168.178.42","UDP","176","50004  >  63494 Len=134"
"114","1.528432","192.168.178.42","5.200.6.174","UDP","212","63494  >  50004 Len=170"
"115","1.541180","5.200.6.174","192.168.178.42","UDP","165","50004  >  63494 Len=123"
"116","1.550089","192.168.178.42","5.200.6.174","UDP","217","63494  >  50004 Len=175"
"117","1.557590","5.200.6.174","192.168.178.42","UDP","155","50004  >  63494 Len=113"
"118","1.566351","192.168.178.42","5.200.6.174","UDP","218","63494  >  50004 Len=176"
"119","1.579630","5.200.6.174","192.168.178.42","UDP","165","50004  >  63494 Len=123"
"120","1.587667","192.168.178.42","5.200.6.174","UDP","217","63494  >  50004 Len=175"
"121","1.599138","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"122","1.610006","192.168.178.42","5.200.6.174","UDP","226","63494  >  50004 Len=184"
"123","1.619190","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"124","1.626688","192.168.178.42","5.200.6.174","UDP","239","63494  >  50004 Len=197"
"125","1.634981","5.200.6.174","192.168.178.42","UDP","155","50004  >  63494 Len=113"
"126","1.649180","192.168.178.42","5.200.6.174","UDP","234","63494  >  50004 Len=192"
"127","1.658372","5.200.6.174","192.168.178.42","UDP","169","50004  >  63494 Len=127"
"128","1.666440","192.168.178.42","5.200.6.174","UDP","221","63494  >  50004 Len=179"
"129","1.681397","5.200.6.174","192.168.178.42","UDP","160","50004  >  63494 Len=118"
"130","1.687379","192.168.178.42","5.200.6.174","UDP","224","63494  >  50004 Len=182"
"131","1.697693","5.200.6.174","192.168.178.42","UDP","153","50004  >  63494 Len=111"
"132","1.705374","192.168.178.42","5.200.6.174","UDP","216","63494  >  50004 Len=174"
"133","1.719348","5.200.6.174","192.168.178.42","UDP","155","50004  >  63494 Len=113"
"134","1.726952","192.168.178.42","5.200.6.174","UDP","224","63494  >  50004 Len=182"
"135","1.737237","5.200.6.174","192.168.178.42","UDP","154","50004  >  63494 Len=112"
"136","1.749680","192.168.178.42","5.200.6.174","UDP","227","63494  >  50004 Len=185"
"137","1.757942","5.200.6.174","192.168.178.42","UDP","152","50004  >  63494 Len=110"
"138","1.766893","192.168.178.42","5.200.6.174","UDP","226","63494  >  50004 Len=184"
"139","1.779528","5.200.6.174","192.168.178.42","UDP","157","50004  >  63494 Len=115"
"140","1.788150","192.168.178.42","5.200.6.174","UDP","225","63494  >  50004 Len=183"
"141","1.797047","5.200.6.174","192.168.178.42","UDP","154","50004  >  63494 Len=112"
"142","1.809400","192.168.178.42","5.200.6.174","UDP","225","63494  >  50004 Len=183"
"143","1.820268","5.200.6.174","192.168.178.42","UDP","159","50004  >  63494 Len=117"
"144","1.826211","192.168.178.42","5.200.6.174","UDP","220","63494  >  50004 Len=178"
"145","1.839354","5.200.6.174","192.168.178.42","UDP","159","50004  >  63494 Len=117"
"146","1.847320","192.168.178.42","5.200.6.174","UDP","217","63494  >  50004 Len=175"
"147","1.852104","192.168.178.42","162.159.138.234","TLSv1.2","140","Application Data"
"148","1.858373","5.200.6.174","192.168.178.42","UDP","162","50004  >  63494 Len=120"
"149","1.866502","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"150","1.877101","5.200.6.174","192.168.178.42","UDP","157","50004  >  63494 Len=115"
"151","1.889186","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"152","1.894064","162.159.138.234","192.168.178.42","TCP","60","443  >  3420 [ACK] Seq=1 Ack=173 Win=182 Len=0"
"153","1.899814","5.200.6.174","192.168.178.42","UDP","154","50004  >  63494 Len=112"
"154","1.906530","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"155","1.918252","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"156","1.928459","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"157","1.935908","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"158","1.950457","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"159","1.962002","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"160","1.967158","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"161","1.974635","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"162","1.989753","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"163","2.001587","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"164","2.002742","192.168.178.1","239.255.255.250","SSDP","346","NOTIFY * HTTP/1.1 "
"165","2.003350","192.168.178.1","239.255.255.250","SSDP","355","NOTIFY * HTTP/1.1 "
"166","2.003350","192.168.178.1","239.255.255.250","SSDP","398","NOTIFY * HTTP/1.1 "
"167","2.004039","192.168.178.1","239.255.255.250","SSDP","410","NOTIFY * HTTP/1.1 "
"168","2.004571","192.168.178.1","239.255.255.250","SSDP","412","NOTIFY * HTTP/1.1 "
"169","2.005536","192.168.178.1","239.255.255.250","SSDP","426","NOTIFY * HTTP/1.1 "
"170","2.006451","192.168.178.1","239.255.255.250","SSDP","390","NOTIFY * HTTP/1.1 "
"171","2.006550","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"172","2.007441","192.168.178.1","239.255.255.250","SSDP","337","NOTIFY * HTTP/1.1 "
"173","2.007725","192.168.178.1","239.255.255.250","SSDP","347","NOTIFY * HTTP/1.1 "
"174","2.007855","192.168.178.1","239.255.255.250","SSDP","383","NOTIFY * HTTP/1.1 "
"175","2.009613","fe80::464e:6dff:fedf:a38a","ff02::c","SSDP","365","NOTIFY * HTTP/1.1 "
"176","2.009903","fe80::464e:6dff:fedf:a38a","ff02::c","SSDP","375","NOTIFY * HTTP/1.1 "
"177","2.010153","fe80::464e:6dff:fedf:a38a","ff02::c","SSDP","411","NOTIFY * HTTP/1.1 "
"178","2.011149","192.168.178.1","239.255.255.250","SSDP","383","NOTIFY * HTTP/1.1 "
"179","2.011990","fe80::464e:6dff:fedf:a38a","ff02::c","SSDP","411","NOTIFY * HTTP/1.1 "
"180","2.018478","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"181","2.027795","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"182","2.036187","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"183","2.037520","192.168.178.42","192.168.178.1","DNS","132","Standard query 0xbf5e PTR c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"184","2.038852","192.168.178.1","192.168.178.42","DNS","196","Standard query response 0xbf5e No such name PTR c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa SOA b.ip6-servers.arpa"
"185","2.039542","fe80::59ae:66a4:fbf4:c364","ff02::1:3","LLMNR","152","Standard query 0xdf2b PTR c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"186","2.039644","192.168.178.42","224.0.0.252","LLMNR","132","Standard query 0xdf2b PTR c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"187","2.050059","192.168.178.42","5.200.6.174","UDP","85","63494  >  50004 Len=43"
"188","2.059047","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"189","2.075394","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"190","2.099980","192.168.178.42","149.154.167.92","SSL","223","Continuation Data"
"191","2.100042","5.200.6.174","192.168.178.42","UDP","77","50004  >  63494 Len=35"
"192","2.149718","149.154.167.92","192.168.178.42","SSL","479","Continuation Data"
"193","2.151129","192.168.178.42","149.154.167.92","SSL","143","Continuation Data"
"194","2.197825","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"195","2.238213","149.154.167.92","192.168.178.42","TCP","60","443  >  6552 [ACK] Seq=426 Ack=259 Win=32768 Len=0"
"196","2.457072","fe80::59ae:66a4:fbf4:c364","ff02::1:3","LLMNR","152","Standard query 0xdf2b PTR c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"197","2.457209","192.168.178.42","224.0.0.252","LLMNR","132","Standard query 0xdf2b PTR c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"198","2.632196","fe80::59ae:66a4:fbf4:c364","fe80::464e:6dff:fedf:a38a","TCP","86","4404  >  49000 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"199","2.633507","fe80::464e:6dff:fedf:a38a","fe80::59ae:66a4:fbf4:c364","TCP","86","49000  >  4404 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1440 SACK_PERM=1 WS=64"
"200","2.633593","fe80::59ae:66a4:fbf4:c364","fe80::464e:6dff:fedf:a38a","TCP","74","4404  >  49000 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"201","2.633726","fe80::59ae:66a4:fbf4:c364","fe80::464e:6dff:fedf:a38a","HTTP","268","GET /fboxdesc.xml HTTP/1.1 "
"202","2.634328","fe80::464e:6dff:fedf:a38a","fe80::59ae:66a4:fbf4:c364","TCP","74","49000  >  4404 [ACK] Seq=1 Ack=195 Win=15488 Len=0"
"203","2.637476","fe80::464e:6dff:fedf:a38a","fe80::59ae:66a4:fbf4:c364","TCP","393","49000  >  4404 [PSH, ACK] Seq=1 Ack=195 Win=15488 Len=319 [TCP segment of a reassembled PDU]"
"204","2.690123","fe80::59ae:66a4:fbf4:c364","fe80::464e:6dff:fedf:a38a","TCP","74","4404  >  49000 [ACK] Seq=195 Ack=320 Win=263168 Len=0"
"205","2.690677","fe80::464e:6dff:fedf:a38a","fe80::59ae:66a4:fbf4:c364","HTTP/XML","1167","HTTP/1.1 200 OK "
"206","2.711525","192.168.178.24","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"207","2.736559","fe80::59ae:66a4:fbf4:c364","fe80::464e:6dff:fedf:a38a","TCP","74","4404  >  49000 [ACK] Seq=195 Ack=1413 Win=261888 Len=0"
"208","2.813303","192.168.178.24","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"209","2.996792","192.168.178.42","5.200.6.174","RTCP","70","Receiver Report   "
"210","3.050541","192.168.178.42","192.168.178.1","DNS","132","Standard query 0x68aa PTR a.8.3.a.f.d.e.f.f.f.d.6.e.4.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"211","3.051373","192.168.178.1","192.168.178.42","DNS","191","Standard query response 0x68aa No such name PTR a.8.3.a.f.d.e.f.f.f.d.6.e.4.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA localhost"
"212","3.051846","fe80::59ae:66a4:fbf4:c364","ff02::1:3","LLMNR","152","Standard query 0x6436 PTR a.8.3.a.f.d.e.f.f.f.d.6.e.4.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"213","3.051929","192.168.178.42","224.0.0.252","LLMNR","132","Standard query 0x6436 PTR a.8.3.a.f.d.e.f.f.f.d.6.e.4.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"214","3.088010","AVMAudio_df:a3:8a","AtherosC_00:00:01","HomePlug AV","60","Qualcomm Atheros, OP_ATTR.REQ (Get Device Attributes Request)"
"215","3.088010","AVMAudio_df:a3:8a","Broadcast","HomePlug AV","60","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)"
"216","3.088010","AVMAudio_df:a3:8a","Broadcast","0x8912","60","Ethernet II"
"217","3.197498","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"218","3.468438","fe80::59ae:66a4:fbf4:c364","ff02::1:3","LLMNR","152","Standard query 0x6436 PTR a.8.3.a.f.d.e.f.f.f.d.6.e.4.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"219","3.468573","192.168.178.42","224.0.0.252","LLMNR","132","Standard query 0x6436 PTR a.8.3.a.f.d.e.f.f.f.d.6.e.4.6.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa"
"220","4.297527","192.168.178.42","162.159.138.234","TLSv1.2","115","Application Data"
"221","4.568692","192.168.178.42","5.200.6.174","RTCP","94","Receiver Report   "
"222","4.578782","192.168.178.42","162.159.138.234","TCP","115","[TCP Retransmission] 3420  >  443 [PSH, ACK] Seq=173 Ack=1 Win=1026 Len=61"
"223","4.618321","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"224","4.710404","162.159.138.234","192.168.178.42","TCP","60","443  >  3420 [ACK] Seq=1 Ack=234 Win=182 Len=0"
"225","4.710404","162.159.138.234","192.168.178.42","TLSv1.2","111","Application Data"
"226","4.711047","162.159.138.234","192.168.178.42","TCP","66","[TCP Dup ACK 224#1] 443  >  3420 [ACK] Seq=58 Ack=234 Win=182 Len=0 SLE=173 SRE=234"
"227","4.765672","192.168.178.42","162.159.138.234","TCP","54","3420  >  443 [ACK] Seq=234 Ack=58 Win=1026 Len=0"
"228","5.088240","AVMAudio_df:a3:8a","AtherosC_00:00:01","HomePlug AV","60","Qualcomm Atheros, OP_ATTR.REQ (Get Device Attributes Request)"
"229","5.088240","AVMAudio_df:a3:8a","Broadcast","HomePlug AV","60","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)"
"230","5.088240","AVMAudio_df:a3:8a","Broadcast","0x8912","60","Ethernet II"
"231","5.418201","66.203.125.15","192.168.178.42","TLSv1.2","413","Application Data"
"232","5.418730","192.168.178.42","66.203.125.15","TLSv1.2","397","Application Data"
"233","5.418818","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"234","5.474800","192.168.178.42","192.168.178.1","HTTP","541","GET /internet/inetstat_monitor.lua?sid=70d46de0bd50a869&myXhr=1&action=get_graphic&useajax=1&xhr=1&t1605544258081=nocache HTTP/1.1 "
"235","5.475365","192.168.178.1","192.168.178.42","TCP","60","80  >  4315 [ACK] Seq=1 Ack=488 Win=660 Len=0"
"236","5.499768","192.168.178.42","192.168.178.23","TCP","164","3764  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=1020 Len=110 [TCP segment of a reassembled PDU]"
"237","5.513489","192.168.178.23","192.168.178.42","TCP","164","8009  >  3764 [PSH, ACK] Seq=111 Ack=221 Win=1386 Len=110 [TCP segment of a reassembled PDU]"
"238","5.559081","192.168.178.42","192.168.178.23","TCP","54","3764  >  8009 [ACK] Seq=221 Ack=221 Win=1026 Len=0"
"239","5.608423","192.168.178.42","5.200.6.174","UDP","50","63494  >  50004 Len=8"
"240","5.763038","192.168.178.1","192.168.178.42","HTTP","1339","HTTP/1.1 200 OK  (text/html)"
"241","5.806472","192.168.178.42","192.168.178.1","TCP","54","4315  >  80 [ACK] Seq=488 Ack=1286 Win=8212 Len=0"
"242","5.806472","192.168.178.42","66.203.125.15","TCP","397","[TCP Retransmission] 3435  >  443 [PSH, ACK] Seq=1 Ack=360 Win=64263 Len=343"
"243","5.913028","66.203.125.15","192.168.178.42","TCP","60","443  >  3435 [ACK] Seq=360 Ack=344 Win=41935 Len=0"
"244","6.078743","5.200.6.174","192.168.178.42","UDP","60","50004  >  63494 Len=8"
"245","6.117214","192.168.178.42","49.12.156.205","TCP","55","3417  >  443 [ACK] Seq=1 Ack=1 Win=1022 Len=1 [TCP segment of a reassembled PDU]"
"246","6.117259","CompalIn_06:eb:e5","LLDP_Multicast","LLDP","176","LA/brunofrancesco LA/port-001 20 SysN=BRUNOFRANCESCO SysD=Acer Aspire A515-51G,V1.15,NXGVMET009811087E33400 RTClass3 Port Status = OFF"
"247","6.123513","66.203.125.15","192.168.178.42","TCP","60","[TCP Dup ACK 243#1] 443  >  3435 [ACK] Seq=360 Ack=344 Win=41935 Len=0"
"248","6.603904","49.12.156.205","192.168.178.42","TCP","66","443  >  3417 [ACK] Seq=1 Ack=2 Win=544 Len=0 SLE=1 SRE=2"
"249","6.614384","5.200.6.174","192.168.178.42","RTCP","94","Receiver Report   "
"250","6.827255","5.200.6.174","192.168.178.42","UDP","156","50004  >  63494 Len=114"
"251","6.915155","5.200.6.174","192.168.178.42","UDP","159","50004  >  63494 Len=117"
"252","6.953262","5.200.6.174","192.168.178.42","UDP","158","50004  >  63494 Len=116"
"253","6.953707","5.200.6.174","192.168.178.42","UDP","160","50004  >  63494 Len=118"
"254","6.953707","5.200.6.174","192.168.178.42","UDP","162","50004  >  63494 Len=120"
"255","6.953707","5.200.6.174","192.168.178.42","UDP","167","50004  >  63494 Len=125"
"256","6.953707","5.200.6.174","192.168.178.42","UDP","157","50004  >  63494 Len=115"
"257","6.954109","5.200.6.174","192.168.178.42","UDP","171","50004  >  63494 Len=129"
"258","6.954109","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"259","6.954483","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
"260","6.954483","5.200.6.174","192.168.178.42","UDP","161","50004  >  63494 Len=119"
